Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
999,5ieA3sRjDvak7oTrbrR6mV,Frank Turner,Songbook,Four Simple Words,25,297093,True,0.335,0.881,0,-6.48,1,0.0934,0.00805,0.0,0.11,0.173,96.9,4,acoustic
998,3zVMv0mxjnJRw2BX5ryCqT,Chuck Ragan,Covering Ground,You Get What You Give,26,217293,False,0.303,0.506,9,-6.89,1,0.0325,0.496,0.0,0.178,0.412,161.463,3,acoustic
997,1ZD2MlKRTYKI8oewOt28mc,Pigeon Pit,Treehouse,Tall Cans,26,186461,True,0.648,0.389,4,-8.275,1,0.0927,0.807,9.78e-05,0.11,0.378,86.36,4,acoustic
996,5aBpIqXfktr9SSwyAi8Hlj,Taj Mahal,The Essential Taj Mahal,"Corinna - From ""The Natch'l Blues""",29,180920,False,0.621,0.294,9,-13.468,1,0.11,0.558,2.54e-05,0.0946,0.728,78.599,4,acoustic
995,1epXnhFfFToKeugQWBCsQg,Harley Poe,Wretched. Filthy. Ugly.,Maria,26,196226,True,0.633,0.832,0,-6.84,1,0.0863,0.0274,7.57e-06,0.0957,0.838,130.912,4,acoustic
994,5Bfdu7gVB7njCCCQHC0kkI,Days N Daze,Show Me the Blueprints.,Fast Track,26,144009,False,0.446,0.621,10,-5.065,1,0.037,0.721,0.0,0.0881,0.867,113.896,4,acoustic
993,73Zqgqez3FbGjeGRhSkw0O,Days N Daze,Ward Off the Vultures,Kick Your Lawyer in the Face,26,140560,True,0.555,0.508,0,-12.851,1,0.108,0.361,0.000968,0.12,0.961,122.037,4,acoustic
992,2FYSLfTFri5Gbccm44lXA3,Violent Femmes,Hallowed Ground,Black Girls,26,340266,False,0.608,0.61,11,-13.99,0,0.0702,0.0278,0.335,0.0369,0.669,121.275,4,acoustic
991,5WhHTK5wyuY14tiHWuoH4G,Frank Turner,FTHC (Deluxe),Little Life,25,215586,False,0.609,0.693,9,-6.395,1,0.0273,0.000315,0.0,0.3,0.452,119.992,4,acoustic
990,1VdQTD2rFIYWpFngckkmSS,Dan Andriano in the Emergency Room,"Of Peace, Quiet and Monsters","Of Peace, Quiet And Monsters",25,261000,False,0.479,0.285,1,-12.619,0,0.0327,0.942,0.0437,0.111,0.618,104.933,4,acoustic
989,7JuocCvYUBbC0X1bZj6guM,Frank Turner,Miranda,Miranda,25,240866,False,0.524,0.578,7,-5.974,1,0.0267,0.000971,6.55e-06,0.326,0.29,75.032,4,acoustic
988,0J2YKkFn2l1LTpZC7UaNrd,Corporate Hearts,The Shreds,Waves of Panic,26,153342,True,0.301,0.552,7,-7.19,0,0.0495,0.161,0.0,0.143,0.761,166.406,4,acoustic
